Date,Region,Department,Treatment_Type,Number_of_Patients,Treatment_Cost,Total_Revenue,Expense,Profit,Year,Currency,Payment_Method,Month,Month_Name,Profit_Margin,Cost_Per_Patient
19-09-2023,West,Cardiology,Therapy,45,14210.43,639469.35,507189.76,132279.59,2023,USD,Online Payment,9,September,0.2069,11270.88
10-07-2023,West,Cardiology,Therapy,15,3046.85,45702.75,24225.11,21477.64,2023,INR,Cash,7,July,0.4699,1615.01
29-03-2024,North,Oncology,Diagnostics,27,2226.32,60110.64,39086.72,21023.92,2024,INR,Cash,3,March,0.3498,1447.66
23-06-2024,West,Orthopedics,Medication,14,4879.51,68313.14,55203.31,13109.83,2024,INR,Cash,6,June,0.1919,3943.09
22-05-2024,North,Oncology,Medication,17,325235.7,5529006.9,3499503.3,2029503.6,2024,EUR,Insurance,5,May,0.3671,205853.14
19-09-2024,East,Pediatrics,Consultation,40,387133.2,15485328,7986033,7499295,2024,EUR,Cash,9,September,0.4843,199650.82
05-08-2023,South,Cardiology,Therapy,11,183453.3,2017986.3,1773884.7,244101.6,2023,EUR,Cash,8,August,0.121,161262.25
22-08-2024,South,Oncology,Medication,24,438308.1,10519394.4,6485949,4033445.4,2024,EUR,Insurance,8,August,0.3834,270247.88
15-01-2024,South,Orthopedics,Diagnostics,3,26386.53,79159.59,54975.88,24183.71,2024,USD,Cash,1,January,0.3055,18325.29
02-04-2023,South,Oncology,Medication,1,2433.5,2433.5,1575.01,858.49,2023,INR,Cash,4,April,0.3528,1575.01
11-07-2024,West,General Medicine,Consultation,50,4958.6,247930,184501.33,63428.67,2024,INR,Cash,7,July,0.2558,3690.03
03-12-2024,South,Cardiology,Therapy,17,695.63,11825.71,10327.23,1498.48,2024,INR,Cash,12,December,0.1267,607.48
25-08-2024,South,Orthopedics,Therapy,14,702.85,9839.9,6311.13,3528.77,2024,INR,Online Payment,8,August,0.3586,450.8
01-02-2024,South,Emergency,Therapy,11,163846.98,1802316.78,1142087.47,660229.31,2024,USD,Online Payment,2,February,0.3663,103826.13
03-09-2023,East,Emergency,Medication,17,127.66,2170.22,1347.58,822.64,2023,INR,Online Payment,9,September,0.3791,79.27
14-08-2023,North,General Medicine,Consultation,40,1028.09,41123.6,27322.78,13800.82,2023,INR,Insurance,8,August,0.3356,683.07
05-08-2024,East,Cardiology,Medication,17,667.64,11349.88,9099.2,2250.68,2024,INR,Cash,8,August,0.1983,535.25
17-02-2024,South,Cardiology,Medication,42,4194.18,176155.56,140286.75,35868.81,2024,INR,Online Payment,2,February,0.2036,3340.16
12-07-2024,West,General Medicine,Surgery,3,296893.8,890681.4,533317.5,357363.9,2024,EUR,Insurance,7,July,0.4012,177772.5
23-11-2023,East,Emergency,Therapy,29,3786.65,109812.85,74463.78,35349.07,2023,INR,Insurance,11,November,0.3219,2567.72
14-03-2024,East,Cardiology,Medication,10,41132.31,411323.1,266563.63,144759.47,2024,USD,Insurance,3,March,0.3519,26656.36
05-10-2024,West,Pediatrics,Medication,38,3443.23,130842.74,89498.07,41344.67,2024,INR,Cash,10,October,0.316,2355.21
22-03-2024,North,Oncology,Consultation,42,293482.8,12326277.6,8481654,3844623.6,2024,EUR,Insurance,3,March,0.3119,201944.14
01-03-2023,North,Orthopedics,Diagnostics,33,144308.78,4762189.74,2762489.83,1999699.91,2023,USD,Online Payment,3,March,0.4199,83711.81
19-01-2024,North,Oncology,Therapy,28,413829.7,11587231.6,10209947.86,1377283.74,2024,USD,Insurance,1,January,0.1189,364641
26-11-2023,West,General Medicine,Consultation,41,446375.7,18301403.7,16060727.7,2240676,2023,EUR,Online Payment,11,November,0.1224,391725.07
27-04-2023,East,Orthopedics,Diagnostics,39,18056.7,704211.3,537016.5,167194.8,2023,EUR,Online Payment,4,April,0.2374,13769.65
28-10-2023,East,General Medicine,Therapy,23,2336.75,53745.25,48099.41,5645.84,2023,INR,Insurance,10,October,0.105,2091.28
06-08-2023,South,Orthopedics,Therapy,25,179340.59,4483514.75,3163351.61,1320163.14,2023,USD,Insurance,8,August,0.2944,126534.06
15-05-2024,South,Oncology,Therapy,36,838.16,30173.76,27001.29,3172.47,2024,INR,Insurance,5,May,0.1051,750.04
09-03-2024,South,Cardiology,Medication,29,132449.74,3841042.46,3304397.66,536644.8,2024,USD,Cash,3,March,0.1397,113944.75
10-06-2023,North,Pediatrics,Surgery,48,64040.31,3073934.88,2109045.77,964889.11,2023,USD,Insurance,6,June,0.3139,43938.45
25-11-2024,South,Pediatrics,Surgery,43,4696.96,201969.28,164862.84,37106.44,2024,INR,Online Payment,11,November,0.1837,3834.02
01-04-2024,South,Oncology,Medication,37,444301.2,16439144.4,8240193.9,8198950.5,2024,EUR,Online Payment,4,April,0.4987,222707.94
10-01-2024,East,Pediatrics,Consultation,34,3932.95,133720.3,113220.97,20499.33,2024,INR,Cash,1,January,0.1533,3330.03
08-06-2024,East,Emergency,Surgery,13,55779.3,725130.9,438384.6,286746.3,2024,EUR,Online Payment,6,June,0.3954,33721.89
12-09-2023,West,Emergency,Therapy,21,16028.96,336608.16,239068.22,97539.94,2023,USD,Insurance,9,September,0.2898,11384.2
06-02-2024,South,Pediatrics,Surgery,43,20487.6,880966.8,638757.9,242208.9,2024,EUR,Online Payment,2,February,0.2749,14854.83
25-10-2023,East,Orthopedics,Surgery,50,89461.8,4473090,3049289.1,1423800.9,2023,EUR,Online Payment,10,October,0.3183,60985.78
07-11-2024,North,Oncology,Therapy,1,150819.3,150819.3,82018.94,68800.36,2024,USD,Cash,11,November,0.4562,82018.94
14-09-2023,North,Emergency,Surgery,45,93964.3,4228393.5,2549629.69,1678763.81,2023,USD,Online Payment,9,September,0.397,56658.44
02-08-2024,North,General Medicine,Surgery,46,162354.6,7468311.6,4674813.3,2793498.3,2024,EUR,Online Payment,8,August,0.374,101626.38
02-12-2023,East,Cardiology,Surgery,16,131334.3,2101348.8,1076287.5,1025061.3,2023,EUR,Insurance,12,December,0.4878,67267.97
20-05-2023,East,Oncology,Medication,27,186147.42,5025980.34,2573260.62,2452719.72,2023,USD,Insurance,5,May,0.488,95305.95
05-04-2024,North,Pediatrics,Medication,44,147411,6486084,4644627.3,1841456.7,2024,EUR,Insurance,4,April,0.2839,105559.71
03-12-2024,West,Pediatrics,Medication,29,90528.3,2625320.7,1778499,846821.7,2024,EUR,Insurance,12,December,0.3226,61327.55
18-05-2023,South,Cardiology,Medication,37,253300.23,9372108.51,5685965.63,3686142.88,2023,USD,Online Payment,5,May,0.3933,153674.75
29-06-2023,North,Emergency,Medication,39,53495.99,2086343.61,1314060.15,772283.46,2023,USD,Online Payment,6,June,0.3702,33693.85
10-07-2023,East,Pediatrics,Medication,13,354654.02,4610502.26,2533416.47,2077085.79,2023,USD,Online Payment,7,July,0.4505,194878.19
15-10-2023,East,Oncology,Consultation,1,149743.62,149743.62,112894.11,36849.51,2023,USD,Online Payment,10,October,0.2461,112894.11
26-06-2024,South,Orthopedics,Medication,46,4420.96,203364.16,131996.47,71367.69,2024,INR,Online Payment,6,June,0.3509,2869.49
22-02-2023,South,Orthopedics,Medication,20,4385.92,87718.4,50067.46,37650.94,2023,INR,Cash,2,February,0.4292,2503.37
30-05-2023,East,Cardiology,Therapy,39,253247.11,9876637.29,7629516.87,2247120.42,2023,USD,Cash,5,May,0.2275,195628.64
23-08-2023,North,Orthopedics,Consultation,26,4221.77,109766.02,88231.58,21534.44,2023,INR,Online Payment,8,August,0.1962,3393.52
18-10-2024,South,General Medicine,Therapy,25,3296.93,82423.25,46920.79,35502.46,2024,INR,Insurance,10,October,0.4307,1876.83
30-11-2023,East,General Medicine,Medication,30,347800.5,10434015,8812917,1621098,2023,EUR,Cash,11,November,0.1554,293763.9
01-07-2023,North,Oncology,Surgery,27,307672.7,8307162.9,5160832.93,3146329.97,2023,USD,Insurance,7,July,0.3787,191141.96
02-12-2024,East,Emergency,Diagnostics,8,350914.5,2807316,2393387.1,413928.9,2024,EUR,Cash,12,December,0.1474,299173.39
19-12-2023,South,General Medicine,Diagnostics,44,200607.3,8826721.2,7488307.8,1338413.4,2023,EUR,Insurance,12,December,0.1516,170188.81
08-03-2023,East,Cardiology,Therapy,19,332403.38,6315664.22,4138689.59,2176974.63,2023,USD,Online Payment,3,March,0.3447,217825.77
02-07-2024,East,Orthopedics,Diagnostics,17,275208.91,4678551.47,2705087.86,1973463.61,2024,USD,Cash,7,July,0.4218,159122.82
07-02-2023,South,Cardiology,Diagnostics,20,244669.06,4893381.2,2503183.72,2390197.48,2023,USD,Insurance,2,February,0.4885,125159.19
28-10-2024,South,Pediatrics,Surgery,23,181006.4,4163147.2,2979954.81,1183192.39,2024,USD,Cash,10,October,0.2842,129563.25
26-08-2024,West,Orthopedics,Medication,3,165.37,496.11,356.04,140.07,2024,INR,Insurance,8,August,0.2823,118.68
05-12-2023,West,Oncology,Diagnostics,47,108873.9,5117073.3,4100562,1016511.3,2023,EUR,Insurance,12,December,0.1987,87246
01-12-2023,North,Oncology,Consultation,37,84233.38,3116635.06,2681127.42,435507.64,2023,USD,Online Payment,12,December,0.1397,72462.9
09-04-2023,South,Pediatrics,Therapy,22,281098.59,6184168.98,5250985.04,933183.94,2023,USD,Cash,4,April,0.1509,238681.14
22-06-2023,South,Pediatrics,Diagnostics,45,318529.8,14333841,9803551.5,4530289.5,2023,EUR,Online Payment,6,June,0.3161,217856.7
19-06-2023,West,Oncology,Medication,9,118623.6,1067612.4,581785.18,485827.22,2023,USD,Online Payment,6,June,0.4551,64642.8
21-05-2023,East,Cardiology,Diagnostics,30,397625.61,11928768.3,9985025.33,1943742.97,2023,USD,Online Payment,5,May,0.1629,332834.18
04-10-2024,East,Orthopedics,Therapy,15,293252.4,4398786,2931330.6,1467455.4,2024,EUR,Insurance,10,October,0.3336,195422.04
27-04-2023,West,Pediatrics,Therapy,3,62396.91,187190.73,160668.91,26521.82,2023,USD,Insurance,4,April,0.1417,53556.3
27-08-2023,East,Oncology,Surgery,49,538.7,26396.3,14752.38,11643.92,2023,INR,Online Payment,8,August,0.4411,301.07
30-05-2024,East,Cardiology,Diagnostics,28,4394.83,123055.24,78928.22,44127.02,2024,INR,Cash,5,May,0.3586,2818.86
16-06-2023,South,Orthopedics,Surgery,17,4991.45,84854.65,75419.6,9435.05,2023,INR,Online Payment,6,June,0.1112,4436.45
04-07-2024,East,Cardiology,Consultation,21,257569.75,5408964.75,4692014.07,716950.68,2024,USD,Insurance,7,July,0.1325,223429.24
27-10-2024,East,Emergency,Therapy,13,425635.2,5533257.6,4748977.8,784279.8,2024,EUR,Online Payment,10,October,0.1417,365305.98
27-12-2023,South,General Medicine,Diagnostics,39,556.87,21717.93,17653.48,4064.45,2023,INR,Cash,12,December,0.1871,452.65
25-05-2024,East,Oncology,Consultation,8,279745.69,2237965.52,1510021.49,727944.03,2024,USD,Online Payment,5,May,0.3253,188752.69
18-05-2023,North,Pediatrics,Therapy,47,173916.54,8174077.38,6780622.75,1393454.63,2023,USD,Insurance,5,May,0.1705,144268.57
26-07-2023,East,Pediatrics,Consultation,19,3406.41,64721.79,40810.19,23911.6,2023,INR,Insurance,7,July,0.3695,2147.9
06-10-2024,East,Orthopedics,Therapy,35,63415.32,2219536.2,1415288.61,804247.59,2024,USD,Online Payment,10,October,0.3623,40436.82
02-08-2023,North,Pediatrics,Diagnostics,27,267005.7,7209153.9,3913203.6,3295950.3,2023,EUR,Insurance,8,August,0.4572,144933.47
29-02-2024,East,Orthopedics,Therapy,31,12843,398133,265274.1,132858.9,2024,EUR,Insurance,2,February,0.3337,8557.23
08-12-2024,North,General Medicine,Therapy,19,394242.53,7490608.07,5933484.91,1557123.16,2024,USD,Online Payment,12,December,0.2079,312288.68
13-07-2023,North,Emergency,Medication,46,449552.7,20679424.2,16589956.5,4089467.7,2023,EUR,Cash,7,July,0.1978,360651.23
15-04-2024,West,Oncology,Diagnostics,8,874,6992,5291.79,1700.21,2024,INR,Cash,4,April,0.2432,661.47
23-02-2024,West,Pediatrics,Therapy,40,273089.92,10923596.8,7361390.35,3562206.45,2024,USD,Cash,2,February,0.3261,184034.76
30-04-2024,North,General Medicine,Medication,5,21868.2,109341,66253.5,43087.5,2024,EUR,Online Payment,4,April,0.3941,13250.7
03-06-2023,North,General Medicine,Surgery,19,4014.81,76281.39,44194.63,32086.76,2023,INR,Cash,6,June,0.4206,2326.03
05-06-2024,West,Cardiology,Therapy,21,327533.77,6878209.17,4736439.82,2141769.35,2024,USD,Online Payment,6,June,0.3114,225544.75
17-07-2023,South,Pediatrics,Consultation,50,4560.3,228015,150839.15,77175.85,2023,INR,Cash,7,July,0.3385,3016.78
02-06-2024,West,Pediatrics,Surgery,21,156257.46,3281406.66,2820081.87,461324.79,2024,USD,Online Payment,6,June,0.1406,134289.61
27-10-2024,East,Emergency,Therapy,6,82854,497124,276175.8,220948.2,2024,EUR,Insurance,10,October,0.4445,46029.3
26-10-2024,South,Oncology,Therapy,19,38249.1,726732.9,597550.5,129182.4,2024,EUR,Cash,10,October,0.1778,31450.03
04-05-2024,West,Oncology,Medication,13,385613.85,5012980.05,2750945.36,2262034.69,2024,USD,Cash,5,May,0.4512,211611.18
28-10-2023,South,Oncology,Surgery,13,31176.9,405299.7,336727.8,68571.9,2023,EUR,Insurance,10,October,0.1692,25902.14
08-04-2023,North,Orthopedics,Surgery,45,300480.75,13521633.75,10175468.83,3346164.92,2023,USD,Cash,4,April,0.2475,226121.53
27-08-2023,West,General Medicine,Diagnostics,34,4943.86,168091.24,90221.87,77869.37,2023,INR,Online Payment,8,August,0.4633,2653.58
02-07-2023,West,Emergency,Consultation,47,3617.79,170036.13,135926.7,34109.43,2023,INR,Cash,7,July,0.2006,2892.06
09-06-2023,South,Emergency,Medication,5,362026.08,1810130.4,1091394.39,718736.01,2023,USD,Online Payment,6,June,0.3971,218278.88
30-08-2024,South,General Medicine,Consultation,37,312877.63,11576472.31,6392826.83,5183645.48,2024,USD,Insurance,8,August,0.4478,172779.1
22-08-2024,South,Oncology,Medication,1,414201.54,414201.54,331168.34,83033.2,2024,USD,Online Payment,8,August,0.2005,331168.34
29-04-2024,North,Pediatrics,Diagnostics,15,3474.34,52115.1,29117.9,22997.2,2024,INR,Online Payment,4,April,0.4413,1941.19
18-02-2024,South,Orthopedics,Diagnostics,2,269164.85,538329.7,468105.89,70223.81,2024,USD,Insurance,2,February,0.1304,234052.94
26-05-2023,North,Oncology,Surgery,25,3989.57,99739.25,67788.56,31950.69,2023,INR,Online Payment,5,May,0.3203,2711.54
02-11-2023,South,Cardiology,Consultation,2,302468.4,604936.8,541539,63397.8,2023,EUR,Cash,11,November,0.1048,270769.5
05-09-2024,North,Emergency,Consultation,6,15357.49,92144.94,46636.87,45508.07,2024,USD,Cash,9,September,0.4939,7772.81
28-09-2023,East,Cardiology,Surgery,29,1961.76,56891.04,32451.2,24439.84,2023,INR,Insurance,9,September,0.4296,1119.01
19-09-2023,West,Emergency,Consultation,19,254732.81,4839923.39,3618084.54,1221838.85,2023,USD,Cash,9,September,0.2525,190425.5
02-01-2023,West,Emergency,Medication,33,2521.06,83194.98,44514.54,38680.44,2023,INR,Insurance,1,January,0.4649,1348.93
24-12-2023,North,Emergency,Consultation,49,436332.6,21380297.4,11938733.1,9441564.3,2023,EUR,Cash,12,December,0.4416,243647.61
14-05-2024,East,Pediatrics,Medication,36,117000.95,4212034.2,3392261.46,819772.74,2024,USD,Online Payment,5,May,0.1946,94229.48
26-01-2024,East,Orthopedics,Therapy,47,398286.9,18719484.3,14159771.1,4559713.2,2024,EUR,Cash,1,January,0.2436,301271.73
17-10-2024,East,Pediatrics,Therapy,32,3989.77,127672.64,95079.41,32593.23,2024,INR,Insurance,10,October,0.2553,2971.23
24-02-2024,West,Emergency,Diagnostics,33,46967.4,1549924.2,1282740.3,267183.9,2024,EUR,Online Payment,2,February,0.1724,38870.92
06-11-2024,East,Emergency,Diagnostics,29,203418,5899122,3154695.3,2744426.7,2024,EUR,Cash,11,November,0.4652,108782.6
03-04-2024,West,General Medicine,Diagnostics,7,345593.7,2419155.9,1944729.9,474426,2024,EUR,Insurance,4,April,0.1961,277818.56
03-03-2023,West,Emergency,Consultation,27,374422.13,10109397.51,8723281.74,1386115.77,2023,USD,Online Payment,3,March,0.1371,323084.51
09-09-2023,West,Cardiology,Diagnostics,39,1039.57,40543.23,22139.28,18403.95,2023,INR,Online Payment,9,September,0.4539,567.67
21-05-2024,West,Orthopedics,Therapy,14,319670.35,4475384.9,3874452.45,600932.45,2024,USD,Cash,5,May,0.1343,276746.6
06-08-2023,South,Pediatrics,Medication,46,207932.4,9564890.4,5117371.2,4447519.2,2023,EUR,Cash,8,August,0.465,111247.2
17-04-2023,East,General Medicine,Medication,37,4041.34,149529.58,92687.4,56842.18,2023,INR,Online Payment,4,April,0.3801,2505.06
08-06-2023,West,Emergency,Diagnostics,31,285295.9,8844172.9,6621351.56,2222821.34,2023,USD,Insurance,6,June,0.2513,213591.99
14-04-2023,North,General Medicine,Consultation,48,1184.11,56837.28,43627.7,13209.58,2023,INR,Insurance,4,April,0.2324,908.91
11-03-2024,North,Orthopedics,Therapy,17,67777.8,1152222.6,856507.71,295714.89,2024,USD,Online Payment,3,March,0.2566,50382.81
06-03-2024,East,General Medicine,Consultation,6,389676.7,2338060.2,1699605.11,638455.09,2024,USD,Cash,3,March,0.2731,283267.52
30-12-2023,East,Pediatrics,Diagnostics,29,15098.4,437853.6,356316.3,81537.3,2023,EUR,Insurance,12,December,0.1862,12286.77
07-09-2023,North,Pediatrics,Surgery,44,75002.95,3300129.8,1899026.72,1401103.08,2023,USD,Cash,9,September,0.4246,43159.7
03-01-2024,South,Cardiology,Surgery,43,157341.6,6765688.8,5903877.6,861811.2,2024,EUR,Insurance,1,January,0.1274,137299.48
05-02-2024,South,Cardiology,Consultation,14,4259.36,59631.04,40410.15,19220.89,2024,INR,Cash,2,February,0.3223,2886.44
14-12-2024,South,Orthopedics,Diagnostics,2,132140.7,264281.4,144281.7,119999.7,2024,EUR,Online Payment,12,December,0.4541,72140.85
22-11-2023,East,Pediatrics,Diagnostics,19,73673.1,1399788.9,1052202.6,347586.3,2023,EUR,Insurance,11,November,0.2483,55379.08
