Date,Region,Department,Treatment_Type,Number_of_Patients,Treatment_Cost,Total_Revenue,Expense,Profit,Year,Currency,Payment_Method,Month,Month_Name,Profit_Margin,Cost_Per_Patient
2024-09-30,East,Oncology,Medication,20,2639.93,52798.6,41082.44,11716.16,2024,USD,Online Payment,9,September,0.2219,2054.12
2023-02-08,South,Emergency,Therapy,14,3454.79,48367.06,39955.22,8411.839999999997,2023,EUR,Online Payment,2,February,0.1739,2853.94
2024-10-09,West,Pediatrics,Therapy,19,1453.41,27614.79,21541.87,6072.920000000002,2024,INR,Cash,10,October,0.2199,1133.78
2024-07-10,South,Orthopedics,Therapy,41,316.38,12971.58,6934.9,6036.68,2024,EUR,Insurance,7,July,0.4654,169.14
2023-03-14,South,Emergency,Therapy,33,676.76,22333.08,12255.04,10078.04,2023,EUR,Cash,3,March,0.4513,371.36
2023-05-09,North,General Medicine,Surgery,43,3436.6,147773.8,131547.8,16226.0,2023,INR,Online Payment,5,May,0.1098,3059.25
2023-11-05,East,Oncology,Medication,33,3489.57,115155.81,91828.69,23327.12,2023,USD,Cash,11,November,0.2026,2782.69
2024-05-29,West,General Medicine,Medication,6,3245.03,19470.18,16762.15,2708.029999999999,2024,USD,Insurance,5,May,0.1391,2793.69
2024-02-10,West,General Medicine,Surgery,46,4046.5,186139.0,159505.27,26633.73000000001,2024,USD,Cash,2,February,0.1431,3467.51
2024-12-11,North,Orthopedics,Therapy,45,491.4,22113.0,11807.94,10305.06,2024,INR,Online Payment,12,December,0.466,262.4
2024-01-27,West,Oncology,Surgery,42,2362.03,99205.26,62917.98,36287.27999999999,2024,USD,Insurance,1,January,0.3658,1498.05
2023-07-13,North,Pediatrics,Surgery,5,4583.07,22915.35,14250.68,8664.669999999998,2023,INR,Cash,7,July,0.3781,2850.14
2023-08-30,South,Pediatrics,Surgery,47,260.95,12264.65,9688.11,2576.539999999999,2023,INR,Online Payment,8,August,0.2101,206.13
2024-02-11,North,Orthopedics,Therapy,37,2741.31,101428.47,58931.19,42497.28,2024,INR,Cash,2,February,0.419,1592.73
2023-11-02,West,General Medicine,Medication,49,2280.73,111755.77,76303.68,35452.09000000001,2023,EUR,Cash,11,November,0.3172,1557.22
2024-05-25,North,Cardiology,Consultation,14,3401.81,47625.34,28484.99,19140.34999999999,2024,INR,Online Payment,5,May,0.4019,2034.64
2023-10-28,South,Emergency,Therapy,26,4998.43,129959.18,82687.99,47271.18999999999,2023,EUR,Cash,10,October,0.3637,3180.31
2023-01-26,West,Orthopedics,Therapy,12,2359.9,28318.8,18169.77,10149.03,2023,INR,Cash,1,January,0.3584,1514.15
2023-12-18,North,Emergency,Medication,8,144.61,1156.88,623.71,533.1700000000001,2023,INR,Insurance,12,December,0.4609,77.96
2024-06-06,South,Pediatrics,Consultation,44,4856.87,213702.28,136478.18,77224.1,2024,USD,Insurance,6,June,0.3614,3101.78
2024-12-23,West,Emergency,Diagnostics,45,1343.96,60478.2,52627.8,7850.399999999994,2024,EUR,Online Payment,12,December,0.1298,1169.51
2024-09-07,North,Orthopedics,Medication,32,2181.27,69800.64,47330.15,22470.49,2024,EUR,Cash,9,September,0.3219,1479.07
2024-01-19,West,Orthopedics,Therapy,36,2975.41,107114.76,76663.12,30451.64,2024,INR,Cash,1,January,0.2843,2129.53
2024-12-15,South,Emergency,Consultation,37,3888.64,143879.68,109628.68,34251.0,2024,USD,Cash,12,December,0.2381,2962.94
2024-09-11,East,General Medicine,Medication,27,1034.8,27939.6,17480.98,10458.62,2024,EUR,Online Payment,9,September,0.3743,647.44
2023-09-27,South,Orthopedics,Surgery,16,1442.97,23087.52,13224.26,9863.26,2023,EUR,Cash,9,September,0.4272,826.52
2024-11-19,West,General Medicine,Diagnostics,50,4626.67,231333.5,143161.67,88171.82999999999,2024,EUR,Online Payment,11,November,0.3811,2863.23
2024-06-26,North,Emergency,Consultation,17,377.95,6425.15,4173.37,2251.78,2024,USD,Insurance,6,June,0.3505,245.49
2023-10-04,East,Emergency,Diagnostics,21,1751.4,36779.4,28931.41,7847.990000000002,2023,USD,Cash,10,October,0.2134,1377.69
2023-12-03,East,General Medicine,Diagnostics,37,4025.96,148960.52,89540.53,59419.98999999999,2023,EUR,Cash,12,December,0.3989,2420.01
2023-04-28,North,Oncology,Surgery,6,2367.42,14204.52,9779.12,4425.4,2023,USD,Cash,4,April,0.3115,1629.85
2023-06-08,East,Orthopedics,Consultation,14,2815.74,39420.36,28639.63,10780.73,2023,EUR,Cash,6,June,0.2735,2045.69
2023-01-27,North,Orthopedics,Surgery,10,3883.41,38834.1,27913.21,10920.89,2023,EUR,Insurance,1,January,0.2812,2791.32
2023-12-02,East,Cardiology,Diagnostics,23,4508.57,103697.11,75979.42,27717.69,2023,EUR,Cash,12,December,0.2673,3303.45
2024-06-23,South,Oncology,Diagnostics,9,325.4,2928.6,1940.21,988.3899999999999,2024,INR,Insurance,6,June,0.3375,215.58
2024-02-19,North,Cardiology,Medication,40,932.25,37290.0,25689.48,11600.52,2024,USD,Online Payment,2,February,0.3111,642.24
2023-02-22,East,General Medicine,Consultation,10,3177.01,31770.1,22842.68,8927.419999999998,2023,EUR,Cash,2,February,0.281,2284.27
2023-09-25,West,Emergency,Consultation,44,617.3,27161.2,20190.25,6970.950000000001,2023,EUR,Cash,9,September,0.2567,458.87
2023-08-02,West,Pediatrics,Therapy,12,2857.87,34294.44,29481.28,4813.160000000003,2023,INR,Insurance,8,August,0.1403,2456.77
2023-07-09,South,General Medicine,Medication,37,2241.79,82946.23,65265.69,17680.53999999999,2023,USD,Cash,7,July,0.2132,1763.94
2023-10-11,West,Oncology,Consultation,1,3694.84,3694.84,2006.63,1688.21,2023,EUR,Cash,10,October,0.4569,2006.63
2024-11-06,West,General Medicine,Surgery,27,2199.8,59394.6,43521.62,15872.98,2024,INR,Cash,11,November,0.2672,1611.91
2023-09-19,West,Cardiology,Therapy,45,171.21,7704.45,6110.72,1593.73,2023,USD,Online Payment,9,September,0.2069,135.79
2023-07-10,West,Cardiology,Therapy,15,3046.85,45702.75,24225.11,21477.64,2023,INR,Cash,7,July,0.4699,1615.01
2024-03-29,North,Oncology,Diagnostics,27,2226.32,60110.64,39086.72,21023.92,2024,INR,Cash,3,March,0.3498,1447.66
2024-06-23,West,Orthopedics,Medication,14,4879.51,68313.14,55203.31,13109.83,2024,INR,Cash,6,June,0.1919,3943.09
2024-05-22,North,Oncology,Medication,17,3613.73,61433.41,38883.37,22550.04,2024,EUR,Insurance,5,May,0.3671,2287.26
2024-09-19,East,Pediatrics,Consultation,40,4301.48,172059.2,88733.7,83325.50000000001,2024,EUR,Cash,9,September,0.4843,2218.34
2023-08-05,South,Cardiology,Therapy,11,2038.37,22422.07,19709.83,2712.239999999998,2023,EUR,Cash,8,August,0.121,1791.8
2024-08-22,South,Oncology,Medication,24,4870.09,116882.16,72066.1,44816.06,2024,EUR,Insurance,8,August,0.3834,3002.75
2024-01-15,South,Orthopedics,Diagnostics,3,317.91,953.73,662.36,291.37,2024,USD,Cash,1,January,0.3055,220.79
2023-04-02,South,Oncology,Medication,1,2433.5,2433.5,1575.01,858.49,2023,INR,Cash,4,April,0.3528,1575.01
2024-07-11,West,General Medicine,Consultation,50,4958.6,247930.0,184501.33,63428.67000000001,2024,INR,Cash,7,July,0.2558,3690.03
2024-12-03,South,Cardiology,Therapy,17,695.63,11825.71,10327.23,1498.48,2024,INR,Cash,12,December,0.1267,607.48
2024-08-25,South,Orthopedics,Therapy,14,702.85,9839.9,6311.13,3528.77,2024,INR,Online Payment,8,August,0.3586,450.8
2024-02-01,South,Emergency,Therapy,11,1974.06,21714.66,13760.09,7954.57,2024,USD,Online Payment,2,February,0.3663,1250.92
2023-09-03,East,Emergency,Medication,17,127.66,2170.22,1347.58,822.6399999999999,2023,INR,Online Payment,9,September,0.3791,79.27
2023-08-14,North,General Medicine,Consultation,40,1028.09,41123.6,27322.78,13800.82,2023,INR,Insurance,8,August,0.3356,683.07
2024-08-05,East,Cardiology,Medication,17,667.64,11349.88,9099.2,2250.679999999998,2024,INR,Cash,8,August,0.1983,535.25
2024-02-17,South,Cardiology,Medication,42,4194.18,176155.56,140286.75,35868.81,2024,INR,Online Payment,2,February,0.2036,3340.16
2024-07-12,West,General Medicine,Surgery,3,3298.82,9896.46,5925.75,3970.709999999999,2024,EUR,Insurance,7,July,0.4012,1975.25
2023-11-23,East,Emergency,Therapy,29,3786.65,109812.85,74463.78,35349.07000000001,2023,INR,Insurance,11,November,0.3219,2567.72
2024-03-14,East,Cardiology,Medication,10,495.57,4955.7,3211.61,1744.09,2024,USD,Insurance,3,March,0.3519,321.16
2024-10-05,West,Pediatrics,Medication,38,3443.23,130842.74,89498.07,41344.67,2024,INR,Cash,10,October,0.316,2355.21
2024-03-22,North,Oncology,Consultation,42,3260.92,136958.64,94240.6,42718.04000000001,2024,EUR,Insurance,3,March,0.3119,2243.82
2023-03-01,North,Orthopedics,Diagnostics,33,1738.66,57375.78,33283.01,24092.77,2023,USD,Online Payment,3,March,0.4199,1008.58
2024-01-19,North,Oncology,Therapy,28,4985.9,139605.2,123011.42,16593.78000000001,2024,USD,Insurance,1,January,0.1189,4393.27
2023-11-26,West,General Medicine,Consultation,41,4959.73,203348.93,178452.53,24896.39999999999,2023,EUR,Online Payment,11,November,0.1224,4352.5
2023-04-27,East,Orthopedics,Diagnostics,39,200.63,7824.57,5966.85,1857.719999999999,2023,EUR,Online Payment,4,April,0.2374,153.0
2023-10-28,East,General Medicine,Therapy,23,2336.75,53745.25,48099.41,5645.839999999997,2023,INR,Insurance,10,October,0.105,2091.28
2023-08-06,South,Orthopedics,Therapy,25,2160.73,54018.25,38112.67,15905.58,2023,USD,Insurance,8,August,0.2944,1524.51
2024-05-15,South,Oncology,Therapy,36,838.16,30173.76,27001.29,3172.469999999998,2024,INR,Insurance,5,May,0.1051,750.04
2024-03-09,South,Cardiology,Medication,29,1595.78,46277.62,39812.02,6465.600000000006,2024,USD,Cash,3,March,0.1397,1372.83
2023-06-10,North,Pediatrics,Surgery,48,771.57,37035.36,25410.19,11625.17,2023,USD,Insurance,6,June,0.3139,529.38
2024-11-25,South,Pediatrics,Surgery,43,4696.96,201969.28,164862.84,37106.44,2024,INR,Online Payment,11,November,0.1837,3834.02
2024-04-01,South,Oncology,Medication,37,4936.68,182657.16,91557.71,91099.45,2024,EUR,Online Payment,4,April,0.4987,2474.53
2024-01-10,East,Pediatrics,Consultation,34,3932.95,133720.3,113220.97,20499.32999999999,2024,INR,Cash,1,January,0.1533,3330.03
2024-06-08,East,Emergency,Surgery,13,619.77,8057.01,4870.94,3186.070000000001,2024,EUR,Online Payment,6,June,0.3954,374.69
2023-09-12,West,Emergency,Therapy,21,193.12,4055.52,2880.34,1175.18,2023,USD,Insurance,9,September,0.2898,137.16
2024-02-06,South,Pediatrics,Surgery,43,227.64,9788.52,7097.31,2691.21,2024,EUR,Online Payment,2,February,0.2749,165.05
2023-10-25,East,Orthopedics,Surgery,50,994.02,49701.0,33880.99,15820.01,2023,EUR,Online Payment,10,October,0.3183,677.62
2024-11-07,North,Oncology,Therapy,1,1817.1,1817.1,988.18,828.92,2024,USD,Cash,11,November,0.4562,988.18
2023-09-14,North,Emergency,Surgery,45,1132.1,50944.5,30718.43,20226.07,2023,USD,Online Payment,9,September,0.397,682.63
2024-08-02,North,General Medicine,Surgery,46,1803.94,82981.24,51942.37,31038.87,2024,EUR,Online Payment,8,August,0.374,1129.18
2023-12-02,East,Cardiology,Surgery,16,1459.27,23348.32,11958.75,11389.57,2023,EUR,Insurance,12,December,0.4878,747.42
2023-05-20,East,Oncology,Medication,27,2242.74,60553.98,31003.14,29550.84,2023,USD,Insurance,5,May,0.488,1148.26
2024-04-05,North,Pediatrics,Medication,44,1637.9,72067.6,51606.97,20460.63,2024,EUR,Insurance,4,April,0.2839,1172.89
2024-12-03,West,Pediatrics,Medication,29,1005.87,29170.23,19761.1,9409.130000000001,2024,EUR,Insurance,12,December,0.3226,681.42
2023-05-18,South,Cardiology,Medication,37,3051.81,112916.97,68505.61,44411.36,2023,USD,Online Payment,5,May,0.3933,1851.5
2023-06-29,North,Emergency,Medication,39,644.53,25136.67,15832.05,9304.619999999999,2023,USD,Online Payment,6,June,0.3702,405.95
2023-07-10,East,Pediatrics,Medication,13,4272.94,55548.22,30523.09,25025.13,2023,USD,Online Payment,7,July,0.4505,2347.93
2023-10-15,East,Oncology,Consultation,1,1804.14,1804.14,1360.17,443.97,2023,USD,Online Payment,10,October,0.2461,1360.17
2024-06-26,South,Orthopedics,Medication,46,4420.96,203364.16,131996.47,71367.69,2024,INR,Online Payment,6,June,0.3509,2869.49
2023-02-22,South,Orthopedics,Medication,20,4385.92,87718.4,50067.46,37650.94,2023,INR,Cash,2,February,0.4292,2503.37
2023-05-30,East,Cardiology,Therapy,39,3051.17,118995.63,91921.89,27073.74000000001,2023,USD,Cash,5,May,0.2275,2356.97
2023-08-23,North,Orthopedics,Consultation,26,4221.77,109766.02,88231.58,21534.44,2023,INR,Online Payment,8,August,0.1962,3393.52
2024-10-18,South,General Medicine,Therapy,25,3296.93,82423.25,46920.79,35502.46,2024,INR,Insurance,10,October,0.4307,1876.83
2023-11-30,East,General Medicine,Medication,30,3864.45,115933.5,97921.3,18012.2,2023,EUR,Cash,11,November,0.1554,3264.04
2023-07-01,North,Oncology,Surgery,27,3706.9,100086.3,62178.71,37907.59,2023,USD,Insurance,7,July,0.3787,2302.92
2024-12-02,East,Emergency,Diagnostics,8,3899.05,31192.4,26593.19,4599.210000000003,2024,EUR,Cash,12,December,0.1474,3324.15
2023-12-19,South,General Medicine,Diagnostics,44,2228.97,98074.68,83203.42,14871.25999999999,2023,EUR,Insurance,12,December,0.1516,1890.99
2023-03-08,East,Cardiology,Therapy,19,4004.86,76092.34,49863.73,26228.60999999999,2023,USD,Online Payment,3,March,0.3447,2624.41
2024-07-02,East,Orthopedics,Diagnostics,17,3315.77,56368.09,32591.42,23776.67,2024,USD,Cash,7,July,0.4218,1917.14
2023-02-07,South,Cardiology,Diagnostics,20,2947.82,58956.4,30158.84,28797.56,2023,USD,Insurance,2,February,0.4885,1507.94
2024-10-28,South,Pediatrics,Surgery,23,2180.8,50158.4,35903.07,14255.33,2024,USD,Cash,10,October,0.2842,1561.0
2024-08-26,West,Orthopedics,Medication,3,165.37,496.11,356.04,140.07,2024,INR,Insurance,8,August,0.2823,118.68
2023-12-05,West,Oncology,Diagnostics,47,1209.71,56856.37,45561.8,11294.57,2023,EUR,Insurance,12,December,0.1987,969.4
2023-12-01,North,Oncology,Consultation,37,1014.86,37549.82,32302.74,5247.079999999998,2023,USD,Online Payment,12,December,0.1397,873.05
2023-04-09,South,Pediatrics,Therapy,22,3386.73,74508.06,63264.88,11243.18,2023,USD,Cash,4,April,0.1509,2875.68
2023-06-22,South,Pediatrics,Diagnostics,45,3539.22,159264.9,108928.35,50336.54999999999,2023,EUR,Online Payment,6,June,0.3161,2420.63
2023-06-19,West,Oncology,Medication,9,1429.2,12862.8,7009.46,5853.339999999999,2023,USD,Online Payment,6,June,0.4551,778.83
2023-05-21,East,Cardiology,Diagnostics,30,4790.67,143720.1,120301.51,23418.59000000001,2023,USD,Online Payment,5,May,0.1629,4010.05
2024-10-04,East,Orthopedics,Therapy,15,3258.36,48875.4,32570.34,16305.06,2024,EUR,Insurance,10,October,0.3336,2171.36
2023-04-27,West,Pediatrics,Therapy,3,751.77,2255.31,1935.77,319.54,2023,USD,Insurance,4,April,0.1417,645.26
2023-08-27,East,Oncology,Surgery,49,538.7,26396.3,14752.38,11643.92,2023,INR,Online Payment,8,August,0.4411,301.07
2024-05-30,East,Cardiology,Diagnostics,28,4394.83,123055.24,78928.22,44127.02,2024,INR,Cash,5,May,0.3586,2818.86
2023-06-16,South,Orthopedics,Surgery,17,4991.45,84854.65,75419.6,9435.049999999988,2023,INR,Online Payment,6,June,0.1112,4436.45
2024-07-04,East,Cardiology,Consultation,21,3103.25,65168.25,56530.29,8637.96,2024,USD,Insurance,7,July,0.1325,2691.92
2024-10-27,East,Emergency,Therapy,13,4729.28,61480.64,52766.42,8714.220000000001,2024,EUR,Online Payment,10,October,0.1417,4058.96
2023-12-27,South,General Medicine,Diagnostics,39,556.87,21717.93,17653.48,4064.450000000001,2023,INR,Cash,12,December,0.1871,452.65
2024-05-25,East,Oncology,Consultation,8,3370.43,26963.44,18193.03,8770.41,2024,USD,Online Payment,5,May,0.3253,2274.13
2023-05-18,North,Pediatrics,Therapy,47,2095.38,98482.86,81694.25,16788.61,2023,USD,Insurance,5,May,0.1705,1738.18
2023-07-26,East,Pediatrics,Consultation,19,3406.41,64721.79,40810.19,23911.6,2023,INR,Insurance,7,July,0.3695,2147.9
2024-10-06,East,Orthopedics,Therapy,35,764.04,26741.4,17051.67,9689.730000000003,2024,USD,Online Payment,10,October,0.3623,487.19
2023-08-02,North,Pediatrics,Diagnostics,27,2966.73,80101.71,43480.04,36621.67000000001,2023,EUR,Insurance,8,August,0.4572,1610.37
2024-02-29,East,Orthopedics,Therapy,31,142.7,4423.7,2947.49,1476.21,2024,EUR,Insurance,2,February,0.3337,95.08
2024-12-08,North,General Medicine,Therapy,19,4749.91,90248.29,71487.77,18760.51999999999,2024,USD,Online Payment,12,December,0.2079,3762.51
2023-07-13,North,Emergency,Medication,46,4995.03,229771.38,184332.85,45438.53,2023,EUR,Cash,7,July,0.1978,4007.24
2024-04-15,West,Oncology,Diagnostics,8,874.0,6992.0,5291.79,1700.21,2024,INR,Cash,4,April,0.2432,661.47
2024-02-23,West,Pediatrics,Therapy,40,3290.24,131609.6,88691.45,42918.15000000001,2024,USD,Cash,2,February,0.3261,2217.29
2024-04-30,North,General Medicine,Medication,5,242.98,1214.9,736.15,478.7500000000001,2024,EUR,Online Payment,4,April,0.3941,147.23
2023-06-03,North,General Medicine,Surgery,19,4014.81,76281.39,44194.63,32086.76,2023,INR,Cash,6,June,0.4206,2326.03
2024-06-05,West,Cardiology,Therapy,21,3946.19,82869.99,57065.54,25804.45,2024,USD,Online Payment,6,June,0.3114,2717.41
2023-07-17,South,Pediatrics,Consultation,50,4560.3,228015.0,150839.15,77175.85,2023,INR,Cash,7,July,0.3385,3016.78
2024-06-02,West,Pediatrics,Surgery,21,1882.62,39535.02,33976.89,5558.129999999997,2024,USD,Online Payment,6,June,0.1406,1617.95
2024-10-27,East,Emergency,Therapy,6,920.6,5523.6,3068.62,2454.98,2024,EUR,Insurance,10,October,0.4445,511.44
2024-10-26,South,Oncology,Therapy,19,424.99,8074.81,6639.45,1435.360000000001,2024,EUR,Cash,10,October,0.1778,349.44
2024-05-04,West,Oncology,Medication,13,4645.95,60397.35,33143.92,27253.43,2024,USD,Cash,5,May,0.4512,2549.53
2023-10-28,South,Oncology,Surgery,13,346.41,4503.33,3741.42,761.9099999999999,2023,EUR,Insurance,10,October,0.1692,287.8
2023-04-08,North,Orthopedics,Surgery,45,3620.25,162911.25,122596.01,40315.24000000001,2023,USD,Cash,4,April,0.2475,2724.36
2023-08-27,West,General Medicine,Diagnostics,34,4943.86,168091.24,90221.87,77869.37,2023,INR,Online Payment,8,August,0.4633,2653.58
2023-07-02,West,Emergency,Consultation,47,3617.79,170036.13,135926.7,34109.42999999999,2023,INR,Cash,7,July,0.2006,2892.06
2023-06-09,South,Emergency,Medication,5,4361.76,21808.8,13149.33,8659.47,2023,USD,Online Payment,6,June,0.3971,2629.87
2024-08-30,South,General Medicine,Consultation,37,3769.61,139475.57,77022.01,62453.56000000001,2024,USD,Insurance,8,August,0.4478,2081.68
2024-08-22,South,Oncology,Medication,1,4990.38,4990.38,3989.98,1000.4,2024,USD,Online Payment,8,August,0.2005,3989.98
2024-04-29,North,Pediatrics,Diagnostics,15,3474.34,52115.1,29117.9,22997.2,2024,INR,Online Payment,4,April,0.4413,1941.19
2024-02-18,South,Orthopedics,Diagnostics,2,3242.95,6485.9,5639.83,846.0699999999997,2024,USD,Insurance,2,February,0.1304,2819.92
2023-05-26,North,Oncology,Surgery,25,3989.57,99739.25,67788.56,31950.69,2023,INR,Online Payment,5,May,0.3203,2711.54
2023-11-02,South,Cardiology,Consultation,2,3360.76,6721.52,6017.1,704.4200000000001,2023,EUR,Cash,11,November,0.1048,3008.55
2024-09-05,North,Emergency,Consultation,6,185.03,1110.18,561.89,548.2900000000001,2024,USD,Cash,9,September,0.4939,93.65
2023-09-28,East,Cardiology,Surgery,29,1961.76,56891.04,32451.2,24439.84,2023,INR,Insurance,9,September,0.4296,1119.01
2023-09-19,West,Emergency,Consultation,19,3069.07,58312.33,43591.38,14720.95,2023,USD,Cash,9,September,0.2525,2294.28
2023-01-02,West,Emergency,Medication,33,2521.06,83194.98,44514.54,38680.44,2023,INR,Insurance,1,January,0.4649,1348.93
2023-12-24,North,Emergency,Consultation,49,4848.14,237558.86,132652.59,104906.27,2023,EUR,Cash,12,December,0.4416,2707.2
2024-05-14,East,Pediatrics,Medication,36,1409.65,50747.4,40870.62,9876.779999999999,2024,USD,Online Payment,5,May,0.1946,1135.3
2024-01-26,East,Orthopedics,Therapy,47,4425.41,207994.27,157330.79,50663.47999999998,2024,EUR,Cash,1,January,0.2436,3347.46
2024-10-17,East,Pediatrics,Therapy,32,3989.77,127672.64,95079.41,32593.23,2024,INR,Insurance,10,October,0.2553,2971.23
2024-02-24,West,Emergency,Diagnostics,33,521.86,17221.38,14252.67,2968.710000000001,2024,EUR,Online Payment,2,February,0.1724,431.9
2024-11-06,East,Emergency,Diagnostics,29,2260.2,65545.8,35052.17,30493.63,2024,EUR,Cash,11,November,0.4652,1208.7
2024-04-03,West,General Medicine,Diagnostics,7,3839.93,26879.51,21608.11,5271.399999999998,2024,EUR,Insurance,4,April,0.1961,3086.87
2023-03-03,West,Emergency,Consultation,27,4511.11,121799.97,105099.78,16700.19,2023,USD,Online Payment,3,March,0.1371,3892.58
2023-09-09,West,Cardiology,Diagnostics,39,1039.57,40543.23,22139.28,18403.95,2023,INR,Online Payment,9,September,0.4539,567.67
2024-05-21,West,Orthopedics,Therapy,14,3851.45,53920.3,46680.15,7240.150000000001,2024,USD,Cash,5,May,0.1343,3334.3
2023-08-06,South,Pediatrics,Medication,46,2310.36,106276.56,56859.68,49416.88,2023,EUR,Cash,8,August,0.465,1236.08
2023-04-17,East,General Medicine,Medication,37,4041.34,149529.58,92687.4,56842.17999999999,2023,INR,Online Payment,4,April,0.3801,2505.06
2023-06-08,West,Emergency,Diagnostics,31,3437.3,106556.3,79775.32,26780.98,2023,USD,Insurance,6,June,0.2513,2573.4
2023-04-14,North,General Medicine,Consultation,48,1184.11,56837.28,43627.7,13209.58,2023,INR,Insurance,4,April,0.2324,908.91
2024-03-11,North,Orthopedics,Therapy,17,816.6,13882.2,10319.37,3562.83,2024,USD,Online Payment,3,March,0.2566,607.02
2024-03-06,East,General Medicine,Consultation,6,4694.9,28169.4,20477.17,7692.230000000003,2024,USD,Cash,3,March,0.2731,3412.86
2023-12-30,East,Pediatrics,Diagnostics,29,167.76,4865.04,3959.07,905.9699999999998,2023,EUR,Insurance,12,December,0.1862,136.52
2023-09-07,North,Pediatrics,Surgery,44,903.65,39760.6,22879.84,16880.76,2023,USD,Cash,9,September,0.4246,520.0
2024-01-03,South,Cardiology,Surgery,43,1748.24,75174.32,65598.64,9575.680000000008,2024,EUR,Insurance,1,January,0.1274,1525.55
2024-02-05,South,Cardiology,Consultation,14,4259.36,59631.04,40410.15,19220.89,2024,INR,Cash,2,February,0.3223,2886.44
2024-12-14,South,Orthopedics,Diagnostics,2,1468.23,2936.46,1603.13,1333.33,2024,EUR,Online Payment,12,December,0.4541,801.56
2023-11-22,East,Pediatrics,Diagnostics,19,818.59,15553.21,11691.14,3862.07,2023,EUR,Insurance,11,November,0.2483,615.32
